Time (s)	Channel 1 (V)	DIO  0	DIO  1	DIO  2	DIO  3
-7.679999999999999e-06	2.761579326329533	0	1	0	0
-7.669999999999999e-06	2.761579326329533	0	1	0	0
-7.66e-06	2.761579326329533	0	1	0	0
-7.65e-06	2.761579326329533	0	1	0	0
-7.64e-06	2.761579326329533	0	1	0	0
-7.63e-06	2.761579326329533	0	1	0	0
-7.62e-06	2.761579326329533	0	1	0	0
-7.61e-06	2.761579326329533	0	1	0	0
-7.6e-06	2.761579326329533	0	1	0	0
-7.59e-06	2.761579326329533	0	1	0	0
-7.58e-06	2.761579326329533	0	1	0	0
-7.57e-06	2.761579326329533	0	1	0	0
-7.56e-06	2.761579326329533	0	1	0	0
-7.55e-06	2.761579326329533	0	1	0	0
-7.54e-06	2.761579326329533	0	1	0	0
-7.53e-06	2.761579326329533	0	1	0	0
-7.52e-06	2.761579326329533	0	1	0	0
-7.51e-06	2.761579326329533	0	1	0	0
-7.5e-06	2.761579326329533	0	1	0	0
-7.49e-06	2.761579326329533	0	1	0	0
-7.48e-06	2.761579326329533	0	1	0	0
-7.47e-06	2.761579326329533	0	1	0	0
-7.46e-06	2.761579326329533	0	1	0	0
-7.45e-06	2.761579326329533	0	1	0	0
-7.44e-06	2.761579326329533	0	1	0	0
-7.43e-06	2.761579326329533	0	1	0	0
-7.42e-06	2.761579326329533	0	1	0	0
-7.41e-06	2.761579326329533	0	1	0	0
-7.4e-06	2.761579326329533	0	1	0	0
-7.39e-06	2.761579326329533	0	1	0	0
-7.38e-06	2.761579326329533	0	1	0	0
-7.37e-06	2.761579326329533	0	1	0	0
-7.36e-06	2.761579326329533	0	1	0	0
-7.35e-06	2.761579326329533	0	1	0	0
-7.34e-06	2.761579326329533	0	1	0	0
-7.33e-06	2.761579326329533	0	1	0	0
-7.32e-06	2.761579326329533	0	1	0	0
-7.31e-06	2.761579326329533	0	1	0	0
-7.3e-06	2.761579326329533	0	1	0	0
-7.29e-06	2.761579326329533	0	1	0	0
-7.28e-06	2.761579326329533	0	1	0	0
-7.27e-06	2.761579326329533	0	1	0	0
-7.26e-06	2.761579326329533	0	1	0	0
-7.25e-06	2.761579326329533	0	1	0	0
-7.24e-06	2.761579326329533	0	1	0	0
-7.23e-06	2.761579326329533	0	1	0	0
-7.22e-06	2.761579326329533	0	1	0	0
-7.21e-06	2.761579326329533	0	1	0	0
-7.2e-06	2.761579326329533	0	1	0	0
